"Gene","dpiAsymptomatic.log2FC","dpiAsymptomatic.padj","dpiRecovered.log2FC","dpiRecovered.padj","dpiSymptomatic.log2FC","dpiSymptomatic.padj"
"ABCC2",-0.00283944150102646,0.995496636327766,0.0153663785597058,0.978620040142606,0.103123189682402,0.744536644149911
"ABCC3",0.0210208817328066,0.937299409970989,-0.00821895393782477,0.986914738630945,0.0771929701256865,0.818067271992356
"ABCC4",0.0292905331961813,0.887211599313365,0.227445246916402,0.345426876022024,0.206218202907699,0.463850033653758
"ABCC5",0.0313423283182355,0.941161015299357,0.0858235232985427,0.798417816502752,-0.258172709172521,0.293239506168516
"ABCC6",0.0689645920563536,0.734462330776231,0.112375914559396,0.71324255180801,0.275726035774781,0.306476136634997
"ABCC8",-0.00873468304066819,0.973033408376203,-0.102057178203311,0.608980497672189,-0.184192202872952,0.507870079009623
"ABCC9",-0.00915631691796885,0.981091226545397,0.028465423436209,0.933533737896004,-0.0347765106572048,0.921320746728986
"ABCD1",0.0216181641134932,0.956904224224787,-0.106754893459679,0.737077980993131,0.013242647832786,0.977017809316243
"ABCD2",0.0471374704832579,0.815270541977915,0.905910085413914,0.0252695052784994,0.169127809365147,0.56350550171259
"ABCD3",0.0227050124373943,0.962441117112991,0.115607774561481,0.693628907099668,0.174068115362997,0.50587042374107
"ABCD4",0.0485252001999344,0.838202258719603,0.044481836857476,0.903654759976911,-0.071305103050028,0.83070366844633
"ABCE1",-0.074574290508436,0.743635806493004,-0.0929356453168044,0.77216595154854,-0.000451218358653112,0.996152519683933
"ABCF1",-0.0285418874585674,0.95190075213693,-0.126155650178874,0.685121480070305,-0.172210950827831,0.469933161018242
"ABCF3",-0.00258997654552306,0.995546666235952,-0.106254984160488,0.74374534556782,-0.071649872282668,0.812355325760443
"ABCG1",-0.0495587776630977,0.837484275818719,-0.51123057313868,0.130892825016034,-0.941107044886977,0.00141909615318248
"ABCG4",0.0255838852820222,0.788520289533877,0.0651914272988065,0.6750581905497,0.174182171262287,0.403838333014194
"ABCG5",-0.0409732921297509,0.84271044022682,0.0161208014442633,0.968694077469697,-0.252658565061283,0.397773804100072
"ABCG8",-0.0402044393479969,0.825278097903615,-0.398193329993754,0.239519040196099,-0.627840149368572,0.0987458397121993
"ABHD1",0.10927251100233,0.583066075090625,0.00657923456370195,0.988501461330836,0.0848643824205086,0.787912557398222
"ABHD10",-0.00360666076259181,0.99042214894891,0.0381924155295099,0.917702655840421,0.174145882554317,0.543402888538522
"ABHD11",-0.00307068743809105,0.995546666235952,0.0390071718215778,0.920700112896518,-0.0502839857218458,0.879241850756215
"ABHD12",0.00157999965191515,0.995546666235952,0.027472064822313,0.968467604299763,-0.403371519833953,0.0481783988331298
"ABHD12B",0.0357287437549179,0.834421514327436,0.081123649706558,0.741851734792477,1.25240210898699,0.00411429922814103
"ABHD13",-0.0499448382761373,0.810030495024639,-0.125339205261628,0.658593344605133,0.0579635460685031,0.866539860856708
"ABHD14B",-0.0567946816597174,0.83028059366003,-0.108212883081,0.737915903978307,-0.436185343340446,0.11227921521173
"ABHD15",-0.055514774601806,0.739477838391671,-0.0850688182756956,0.754196890130695,-0.96028592771684,0.0168773403719523
"ABHD16A",0.00784346346481774,0.98502584418488,-0.13770124367975,0.642059152163381,0.0273027282865135,0.941848566364308
"ABHD16B",0.00374189378674499,0.994076182078723,-0.176181133428412,0.535801367865965,-0.281338404965969,0.337490789270217
"ABHD17A",-0.0299844210842298,0.861632879614411,-0.0498884484824924,0.85664303707533,-0.518039598066812,0.111544230099126
"ABHD17B",-0.0423994832530201,0.887380298982329,0.0118381359983127,0.980169037927484,-0.216989151327029,0.407624193913515
"ABHD17C",0.0482908775906335,0.869201089803951,0.090602797573729,0.782295249637822,0.198534611811744,0.443949210564434
"ABHD18",0.104414928876552,0.679810828471792,0.191236273717646,0.496062025100178,0.159740490620091,0.518618243545775
"ABHD2",0.0278382970137994,0.907731106879849,-0.144401262785511,0.605377143549957,0.123131334464069,0.687233257426625
"ABHD3",0.169881401358382,0.36215895594931,0.325532229945459,0.276082788529668,0.649054263128268,0.0224444984439982
"ABHD4",-0.0200020698455034,0.935532343120935,0.0652005778722513,0.797579610505536,0.24534055837514,0.399365023612607
"ABHD5",0.0517556321178299,0.809264172165943,-0.0328447230654619,0.931836518680008,0.352014636315512,0.219255913029902
"ABHD6",0.00851379226942349,0.98502584418488,0.0324552851822156,0.929712587327235,0.472874590823288,0.124651567271611
"ABHD8",-0.00784624994605656,0.986512365480121,-0.0610589495083173,0.863499986390751,-0.276309655744309,0.325803723071761
"ABI1",0.0147644505787397,0.977016856791295,-0.000155871341872177,0.99350738245093,0.314209016061571,0.238356045844927
"ABI2",0.00360221404777985,0.995546666235952,-0.0155281461724619,0.973204493975011,-0.142518777928084,0.570610944195676
