"Gene","DPI01.lfc","DPI01.padj","DPI05.lfc","DPI05.padj","DPI07.lfc","DPI07.padj","DPI15.lfc","DPI15.padj","DPI21.lfc","DPI21.padj","DPI28.lfc","DPI28.padj"
"BCR",-0.0147028827799205,0.973260241060323,-0.215861904168486,0.377538405977141,-0.402254441316956,0.0660825369180929,-0.995081501239606,4.6696684713978e-06,-0.596923197123383,0.0123096956607748,-0.219247567251855,0.364066441867319
"BCS1L",-0.0150953579115356,0.973260241060323,-0.165889786273528,0.527069089417405,-0.514017261036645,0.0231187523515966,-0.296374872022762,0.200124476985735,-0.0938305056667187,0.724597935599061,-0.146840156347075,0.582620266426882
"BDH1",0.0417492627496941,0.877376665220611,-0.0171231696879662,0.961846976317708,-0.38984622181497,0.179922385039636,0.0107189162668935,0.978743449085471,0.0250813381353172,0.943223567109183,0.0752783896710087,0.800748690962446
"BDH2",-0.0623082803070723,0.801395252880541,-0.0645362004034537,0.839780274368999,-0.36704947091802,0.169129063738689,0.179759553231986,0.501163867629818,0.0612057677474492,0.835389744792619,-0.0619766092004408,0.851365328896458
"BDKRB2",0.024754061954834,0.710267458639972,0.0888969213186218,0.478236945135738,-0.176768883866562,0.588549845949217,-0.115754796348871,0.582817643249535,0.0219712947580191,0.879065495601617,-0.00128162270895173,0.988422489375489
"BDNF",0.00598636735656824,0.975714855661249,0.0641647622672006,0.755848792965272,0.148000942368518,0.70300938947529,0.310914364190223,0.291060122756639,0.0920594954716843,0.546271110092537,0.291528826509609,0.161828531412681
"BDP1",-0.0484438561582375,0.894965653719409,-0.202072106841373,0.276721776791279,0.0136934292620969,0.951772634705598,-0.0934862745280687,0.630438715039781,0.00124544252082422,0.997632435029864,0.0832940968261101,0.742937588879121
"BEAN1",0.00860511892005882,0.96617796788913,-0.0079983128273102,0.977040958648477,0.442957496544437,0.258961533162,-0.37078664382817,0.216465641501559,-0.100481560718447,0.466806990108687,-0.0100192905756239,0.966717687649243
"BECN1",-0.281325989011476,0.142224778426093,-0.231476263282908,0.197022150782948,-0.191188302363004,0.257195749911191,-0.113369964871813,0.527582335050008,-0.263336755656147,0.138263360433744,-0.380655618542242,0.0180979922933748
"BEGAIN",-0.0488662648221883,0.732168620379284,-0.899534303176935,0.0484805389737673,-0.476901191876006,0.203916005410579,-1.64541286117829,0.000925122080901993,-1.44369715266188,0.00645998705407124,-0.26196447797532,0.258688070642653
"BEND2",0.0172298480669844,0.953721556308909,-0.0379071897882107,0.908374851669608,-0.286599586967575,0.406477311960749,-0.147809644830425,0.628182131731395,-0.105431563549772,0.638574751124351,0.205024563721498,0.410750043592807
"BEND3",0.135528383060393,0.532600757047225,-0.127073384100018,0.645247027859083,-0.35979511721563,0.157300331608778,-0.233754670141479,0.349755544206007,0.0346316685194203,0.920625163057611,0.158559710956173,0.550289435928732
"BEND4",-0.0178533056553036,0.926288050260528,0.0517153076067717,0.842079906141212,0.0453023408699421,0.91414886268318,0.0483317663230946,0.881985713676567,0.13227432848159,0.458927386419577,0.113522736638956,0.556286339079163
"BEND5",0.0126361340382504,0.975663119075319,0.0567575104539854,0.858185504720113,0.189254004968778,0.570440586529824,-0.169792069610142,0.572650005245288,0.0876819655040447,0.734390380244334,0.0984134162258752,0.728327628581896
"BEND6",-0.00504702799967732,0.988363271345259,0.00780277171690628,0.982560765977835,0.0442099861505951,0.909207461189776,0.129381351846839,0.663809274521282,0.540855577009335,0.0908088529607533,0.646033310003275,0.0403641216922137
